,Parent,ExpectedLife,Loss Method,Tag,Phase Created,AccessibilityPerformance,WarrantyGuarantorParts,Angle,AssetAccountingType,System Name,CodePerformance,ContainedInStructure,Fitting Outside Diameter,Level,Insulation Radius,ObjectPlacement,Insulation Thickness,Representation,Reference,ObjectType,Size,IsDefinedBy,GlobalId,Color,OwnerHistory,Name,Description,InstallationDate,ODAUniqueID,WarrantyGuarantorLabor,Tick Size,Nominal Radius,Nominal Diameter,Features,TagNumber,Center to End,BarCode,System Type,K Coefficient Table,Fitting Outside Radius,Constituents,Use Annotation Scale,Center Radius,SerialNumber,WarrantyStartDate,AssetIdentifier,Host,Offset,Mark,ReplacementCost,Lookup Table Name,OmniClass Title,Finish,Grade,Material,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,OmniClass Number,Center to End Label,Angle 1,Visibility 3,Visibility 2,Visibility 1,OffsetHeight,Fitting Outside Diameter 2,Fitting Outside Diameter 1,Insulation Radius 2,Insulation Radius 1,Nominal Diameter 2,Nominal Diameter 1,Width Offset,Max Fitting Outside Diameter 12,Height Offset,Fitting Outside Radius 2,Fitting Outside Radius 1,Tick Size 2,Tick Size 1,Nominal Radius 2,Nominal Radius 1,Length,OffsetWidth,Socket Depth,Socket Entrance Diameter,Center to Socket Bottom Label,Wall Thickness,Socket Outside Diameter,Center to Socket Bottom,Socket Insulation Outside Diameter,Socket Outside Radius,Socket Insulation Depth,Socket Insulation Outside Radius,Length 2,Length 1,Center to Socket Bottom Not Found,W0,Num 6,OffsetWidthfromBase,Num 8,Lining Radius,Num 10,Num 1,Num 4,Num 3,Radius,Num 9,OffsetHeightfromBase,Num 7,Length01,Length 8,Length 7,Length 6,Length 5,Length 4,Num 2,Length 3,Half H0,Half W0,Num 5,Delta 2,Delta 1,Lining W0,Lining H0,Insulation H0,Insulation W0,H0,OffsetWidthTemp,OffsetHeightTemp,Diameter,Lining Thickness,Schedule Level,Elevation,Default Elevation,Pipe Radius,Overall Diameter,Pipe Diameter,Overall Radius,Tee,Reference Level,Additional Flow,Inner Diameter,Invert Elevation,Flow,Reynolds Number,Relative Roughness,Friction,Flow State,Friction Factor,End Offset,Velocity,Pressure Drop,Section,Area,Outer Diameter,Horizontal Justification,Vertical Justification,Start Offset,Slope,Roughness,Connection Type,Cross,Class,Classification Description,Classification Code,Elbow,Preferred Junction Type,Transition,Union,Bend Radius,Conduit Size Lookup,Conduit Length,Bend Radius Label,Bend or Fitting,Fixture Units,Diameter(Trade Size),Top Elevation,Bottom Elevation,Standard,Bend,Tap,Velocity Pressure,Size Lock,Loss Coefficient,Hydraulic Diameter,Reynolds number,Multi Shape Transition Rect to Round,Multi Shape Transition Oval to Round,Nut Height,Body Radius,Adapter Length,Stem Radius,Handle Height,Body Diameter,Handle Length,Stem Height,Seal Length,Stem Diameter,Nut Radius,Nut Diameter,Handle Width,Body Length,Body Height,Adapter Radius,Adapter Diameter,Half Nut Height,K Coefficient,Base Radius,Head Radius,Head Small Radius,Head Depth,Panel,Circuit Number,Base Depth,Radius 10,Outside Radius,Width 1,Width 2,Thickness 1,Radius 9,Radius 8,Radius 7,Radius 6,Radius 5,Radius 4,Radius 3,Radius 2,Radius 1,Length 9,Height 1,Height 2,Height 3,Height 4,Height 5,Height 6,Angle 2,Valve Length,Outside Diameter,Open Height,C1 Offset 1,C1 Offset 2,Width,Height,Panel Name,Projection,Depth,Standoff,HalfWidth,HalfHeight,Light Loss Factor,Dimming Lamp Color Temperature Shift,Light Source Definition (family),Ballast Voltage,Initial Intensity,Ceiling Mount Material,Color Filter,Electrical Data,Drop From Ceiling,Load Classification,Lamp,Ballast Number of Poles,Calculate Coefficient of Utilization,Initial Color,Pendant Material,Assembly Code,Assembly Description,Light Source Symbol Size,Apparent Load,Switch Voltage,Load,Moves With Nearby Elements,Label,Range Material,Burner Material,Hot Water Diameter,WFU,Flow Pressure,Sanitary Diameter,Sanitary Radius,HWFU,CWFU,Sink Width,Sink Depth,Sink Length,Hot Water Radius,Cold Water Radius,Cold Water Diameter,Shade Material,Door Width,Shower Width,Shower Length,Shower Height,Half Door Width,Half Lavatory Length,Half Oval Long Axis Length 1,Half Oval Long Axis Length,Oval Long Axis Length,Lavatory Width,Oval Short Axis Length,Lavatory Length,Lavatory Height,Half Oval Short Axis Length 1,Half Oval Short Axis Length,Max #1 Pole Breakers,HVAC Demand Factor,Total Estimated Demand Current,Heating Connected,Apparent Load Phase A,Enclosure,Apparent Load Phase B,Receptacle Demand Factor,Total Estimated Demand,Total Connected,HVAC Estimated Demand,Apparent Load Phase C,Other Estimated Demand,HVAC Connected,Total Demand Factor,Mounting,Location,Total Connected Current,24 Circuit Height,Appliance - Dwelling Unit Connected Current,Current Phase A,Current Phase B,Current Phase C,HVAC Connected Current,HVAC Estimated Demand Current,Other Connected,Other Connected Current,Other Estimated Demand Current,Appliance - Dwelling Unit Connected,Appliance - Dwelling Unit Estimated Demand,Appliance - Dwelling Unit Estimated Demand Current,Appliance - Dwelling Unit Demand Factor,Heating Estimated Demand,Heating Connected Current,Heating Estimated Demand Current,Heating Demand Factor,Lighting - Dwelling Unit Connected,Lighting - Dwelling Unit Estimated Demand,Lighting - Dwelling Unit Demand Factor,Lighting - Dwelling Unit Connected Current,Receptacle Connected Current,Lighting - Dwelling Unit Estimated Demand Current,Receptacle Connected,Receptacle Estimated Demand,Receptacle Estimated Demand Current,Mains,Circuit Naming,Distribution System,Number of Wires,Number of Phases,42 Circuit Height,30 Circuit Height,12 Circuit Height,Bath Tub Width,Bath Tub Length,Bath Tub Height,InteriorOrExteriorSpace,Design HVAC Load per area,LongName,ElevationWithFlooring,CeilingCovering,Upper Limit,CompositionType,Number,Decomposes,OmniClass Table 13 Category,Average Estimated Illumination,Condition Type,GSA BIM Area,WallCovering,Wall Reflectance,FloorCovering,Room Number,Room Name,Design Cooling Load,Unbounded Height,Limit Offset,Phase,Base Offset,Perimeter,Volume,Design Other Load per area,Specified Return Airflow,Zone,Plenum,Occupiable,HistoricPreservationZoneName,Space Type,Design Heating Load,Specified Supply Airflow,Actual Supply Airflow,Room Cavity Ratio,Return Airflow,Actual Return Airflow,Actual Exhaust Airflow,Specified Exhaust Airflow,Lighting Calculation Workplane,Ceiling Reflectance,Floor Reflectance,Category Description,Category Code,LoadCapacity,CirculationZoneName,FireAlarmZoneName,LightingZoneName,OccupancyZoneName,VentilationZoneName,RoomTag,BoundedBy,Connector,Power,BtuPerFt,Voltage,Gas Radius,Vent Radius,Electrical Box Height,Exhaust Air Flow,Boiler Radius,Electrical Box Width,Water Pressure Drop,Water Flow,Output Heat,Input Heat,Gas Flow,Exhaust Air Pressure Drop,Number of Poles,Vent Box Diameter,Vent Diameter,Vent Box Height,Gas Diameter,Electrical Box Length,Boiler Top Diameter,Boiler Height,Boiler Diameter,Vent Box Radius,Boiler Top Radius,ControlElementId,Suction Nominal Radius,Suction Outside Diameter,Discharge Nominal Radius,Suction Nominal Diameter,RPM,Suction Outside Radius,Outside Diameter 4,Outside Diameter 2,Outside Diameter 1,Discharge Nominal Diameter,Housing Width,Flange Height,Flange Diameter,Outside Radius 1,Outside Radius 2,Outside Radius 4,Flange Radius,External Static Presure,Diameter 2,Diameter 1,Half Exhaust Inlet Height,Air Flow,Half Outlet Radius,Overall Height,Fan Radius,Fan Height,Fan Diameter,Outlet Width,Outlet Height,Cap Radius,Cap Diameter,Base Width
187248,Level 1,ExpectedLife,,583249,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,,FIXED,Unit B Domestic Hot Water,CodePerformance,310491,,,,187111,0.000000,187247,Reference,Pipe Types:Hot Water,15 mm,"187284,187286,187288,187290,187292,187294,310895,311122,311123,311124,311125",35yfwKgAH3iwZJV8BemDZ5,Color,33,Pipe Types:Hot Water:583249,,InstallationDate,187248,WarrantyGuarantorLabor,,,,Features,TagNumber,,BarCode,Domestic Hot Water,,,Constituents,,,SerialNumber,WarrantyStartDate,AssetIdentifier,,0.914400,299,ReplacementCost,,,Finish,Grade,Copper,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,,,,,,,,,,,,,,,,,,,,,,,0.108292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049213,,,,,,,,,M_Tee - Generic: Tee - Generic,Level 1,0.000000,0.034974,0.909070,0.006684,47667.945342,13.769194,1652.970363,2,0.085786,0.914400,6.957671,587.279401,1,0.005103,0.041667,0,0,0.914400,0.000000,0.002540,Soldered,M_Cross - Generic: Cross - Generic,A,Pipes for General Use,23-60 30 11 11,M_Elbow - Generic: Elbow - Generic,1,M_Transition - Generic: Transition - Generic,M_Coupling - Generic: Coupling - Generic,,,,,,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187436,Level 1,ExpectedLife,,583250,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,,FIXED,Unit B Domestic Hot Water,CodePerformance,310491,,,,187299,0.000000,187435,Reference,Pipe Types:Hot Water,15 mm,"187472,187474,187476,187478,187480,187482,310896,311122,311123,311124,311125",0om3aDojLBqfjTmuSq5xHa,Color,33,Pipe Types:Hot Water:583250,,InstallationDate,187436,WarrantyGuarantorLabor,,,,Features,TagNumber,,BarCode,Domestic Hot Water,,,Constituents,,,SerialNumber,WarrantyStartDate,AssetIdentifier,,0.914400,300,ReplacementCost,,,Finish,Grade,Copper,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,,,,,,,,,,,,,,,,,,,,,,,0.064535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049213,,,,,,,,,M_Tee - Generic: Tee - Generic,Level 1,0.000000,0.034974,0.909070,0.006684,47667.945342,13.769194,1652.970363,2,0.085786,0.914400,6.957671,349.981790,1,0.003041,0.041667,0,0,0.914400,0.000000,0.002540,Soldered,M_Cross - Generic: Cross - Generic,A,Pipes for General Use,23-60 30 11 11,M_Elbow - Generic: Elbow - Generic,1,M_Transition - Generic: Transition - Generic,M_Coupling - Generic: Coupling - Generic,,,,,,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187624,Level 1,ExpectedLife,,583251,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,,FIXED,Unit B Domestic Hot Water,CodePerformance,310491,,,,187487,0.000000,187623,Reference,Pipe Types:Hot Water,15 mm,"187659,187661,187663,187665,187667,187669,310897,311122,311123,311124,311125",0Auv1yUubE5gma8z0Si4q2,Color,33,Pipe Types:Hot Water:583251,,InstallationDate,187624,WarrantyGuarantorLabor,,,,Features,TagNumber,,BarCode,Domestic Hot Water,,,Constituents,,,SerialNumber,WarrantyStartDate,AssetIdentifier,,0.814288,301,ReplacementCost,,,Finish,Grade,Copper,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,,,,,,,,,,,,,,,,,,,,,,,0.085825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049213,,,,,,,,,M_Tee - Generic: Tee - Generic,Level 1,0.000000,0.034974,0.814288,0.006684,47667.945342,13.769194,1652.970363,2,0.085786,0.900113,6.957671,465.440228,1,0.004044,0.041667,0,0,0.814288,,0.002540,Soldered,M_Cross - Generic: Cross - Generic,A,Pipes for General Use,23-60 30 11 11,M_Elbow - Generic: Elbow - Generic,1,M_Transition - Generic: Transition - Generic,M_Coupling - Generic: Coupling - Generic,,,,,,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188012,Level 1,ExpectedLife,,583256,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,,FIXED,Unit B Domestic Hot Water,CodePerformance,310491,,,,187875,0.000000,188011,Reference,Pipe Types:Hot Water,15 mm,"188047,188049,188051,188053,188055,188057,310898,311122,311123,311124,311125",3YExq0knnCdOI4v_2AwiRZ,Color,33,Pipe Types:Hot Water:583256,,InstallationDate,188012,WarrantyGuarantorLabor,,,,Features,TagNumber,,BarCode,Domestic Hot Water,,,Constituents,,,SerialNumber,WarrantyStartDate,AssetIdentifier,,0.845950,415,ReplacementCost,,,Finish,Grade,Copper,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,,,,,,,,,,,,,,,,,,,,,,,0.031663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049213,,,,,,,,,M_Tee - Generic: Tee - Generic,Level 1,0.000000,0.034974,0.814287,0.006684,47667.945342,13.769194,1652.970363,2,0.085786,0.814287,6.957671,171.709889,8,0.001492,0.041667,0,0,0.845950,,0.002540,Soldered,M_Cross - Generic: Cross - Generic,A,Pipes for General Use,23-60 30 11 11,M_Elbow - Generic: Elbow - Generic,1,M_Transition - Generic: Transition - Generic,M_Coupling - Generic: Coupling - Generic,,,,,,0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188199,Level 1,ExpectedLife,,583257,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,,FIXED,Unit B Domestic Hot Water,CodePerformance,310491,,,,188062,0.000000,188198,Reference,Pipe Types:Hot Water,15 mm,"188235,188237,188239,188241,188243,188245,310899,311122,311123,311124,311125",3RFivECV9DwBQ6rpapK$BK,Color,33,Pipe Types:Hot Water:583257,,InstallationDate,188199,WarrantyGuarantorLabor,,,,Features,TagNumber,,BarCode,Domestic Hot Water,,,Constituents,,,SerialNumber,WarrantyStartDate,AssetIdentifier,,0.800000,416,ReplacementCost,,,Finish,Grade,Copper,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,,,,,,,,,,,,,,,,,,,,,,,0.112260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049213,,,,,,,,,M_Tee - Generic: Tee - Generic,Level 1,0.000000,0.034974,0.794670,0.006684,47667.945342,13.769194,1652.970363,2,0.085786,0.800000,6.957671,608.802452,8,0.005290,0.041667,0,0,0.800000,0.000000,0.002540,Soldered,M_Cross - Generic: Cross - Generic,A,Pipes for General Use,23-60 30 11 11,M_Elbow - Generic: Elbow - Generic,1,M_Transition - Generic: Transition - Generic,M_Coupling - Generic: Coupling - Generic,,,,,,0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188732,Level 1,ExpectedLife,,583262,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,,FIXED,Unit A Domestic Hot Water,CodePerformance,310491,,,,188595,0.000000,188731,Reference,Pipe Types:Hot Water,15 mm,"188768,188770,188772,188774,188776,188778,310901,311122,311123,311124,311125",2342ihXWr1r9_X6QQS1COO,Color,33,Pipe Types:Hot Water:583262,,InstallationDate,188732,WarrantyGuarantorLabor,,,,Features,TagNumber,,BarCode,Domestic Hot Water,,,Constituents,,,SerialNumber,WarrantyStartDate,AssetIdentifier,,0.914400,418,ReplacementCost,,,Finish,Grade,Copper,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,,,,,,,,,,,,,,,,,,,,,,,0.109671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049213,,,,,,,,,M_Tee - Generic: Tee - Generic,Level 1,0.000000,0.034974,0.909070,0.006684,47667.945342,13.769194,1652.970363,2,0.085786,0.914400,6.957671,594.762303,1,0.005168,0.041667,0,0,0.914400,0.000000,0.002540,Soldered,M_Cross - Generic: Cross - Generic,A,Pipes for General Use,23-60 30 11 11,M_Elbow - Generic: Elbow - Generic,1,M_Transition - Generic: Transition - Generic,M_Coupling - Generic: Coupling - Generic,,,,,,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188920,Level 1,ExpectedLife,,583263,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,,FIXED,Unit A Domestic Hot Water,CodePerformance,310491,,,,188783,0.000000,188919,Reference,Pipe Types:Hot Water,15 mm,"188955,188957,188959,188961,188963,188965,310902,311122,311123,311124,311125",15IqI2zUDDSvoEufYlgGGS,Color,33,Pipe Types:Hot Water:583263,,InstallationDate,188920,WarrantyGuarantorLabor,,,,Features,TagNumber,,BarCode,Domestic Hot Water,,,Constituents,,,SerialNumber,WarrantyStartDate,AssetIdentifier,,0.814288,419,ReplacementCost,,,Finish,Grade,Copper,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,,,,,,,,,,,,,,,,,,,,,,,0.085825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049213,,,,,,,,,M_Tee - Generic: Tee - Generic,Level 1,0.000000,0.034974,0.814288,0.006684,47667.945342,13.769194,1652.970363,2,0.085786,0.900113,6.957671,465.440228,1,0.004044,0.041667,0,0,0.814288,,0.002540,Soldered,M_Cross - Generic: Cross - Generic,A,Pipes for General Use,23-60 30 11 11,M_Elbow - Generic: Elbow - Generic,1,M_Transition - Generic: Transition - Generic,M_Coupling - Generic: Coupling - Generic,,,,,,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189260,Level 1,ExpectedLife,,583267,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,,FIXED,Unit A Domestic Hot Water,CodePerformance,310491,,,,189123,0.000000,189259,Reference,Pipe Types:Hot Water,15 mm,"189295,189297,189299,189301,189303,189305,310903,311122,311123,311124,311125",1mnU$3L4j2cRLGliOVAGaS,Color,33,Pipe Types:Hot Water:583267,,InstallationDate,189260,WarrantyGuarantorLabor,,,,Features,TagNumber,,BarCode,Domestic Hot Water,,,Constituents,,,SerialNumber,WarrantyStartDate,AssetIdentifier,,0.845950,308,ReplacementCost,,,Finish,Grade,Copper,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,,,,,,,,,,,,,,,,,,,,,,,0.031663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049213,,,,,,,,,M_Tee - Generic: Tee - Generic,Level 1,0.000000,0.034974,0.814287,0.006684,47667.945342,13.769194,1652.970363,2,0.085786,0.814287,6.957671,171.709889,8,0.001492,0.041667,0,0,0.845950,,0.002540,Soldered,M_Cross - Generic: Cross - Generic,A,Pipes for General Use,23-60 30 11 11,M_Elbow - Generic: Elbow - Generic,1,M_Transition - Generic: Transition - Generic,M_Coupling - Generic: Coupling - Generic,,,,,,0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189447,Level 1,ExpectedLife,,583268,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,,FIXED,Unit A Domestic Hot Water,CodePerformance,310491,,,,189310,0.000000,189446,Reference,Pipe Types:Hot Water,15 mm,"189483,189485,189487,189489,189491,189493,310904,311122,311123,311124,311125",2efnvc23P8TO7mc1iO9h_8,Color,33,Pipe Types:Hot Water:583268,,InstallationDate,189447,WarrantyGuarantorLabor,,,,Features,TagNumber,,BarCode,Domestic Hot Water,,,Constituents,,,SerialNumber,WarrantyStartDate,AssetIdentifier,,0.800000,309,ReplacementCost,,,Finish,Grade,Copper,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,,,,,,,,,,,,,,,,,,,,,,,0.113640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049213,,,,,,,,,M_Tee - Generic: Tee - Generic,Level 1,0.000000,0.034974,0.794670,0.006684,47667.945342,13.769194,1652.970363,2,0.085786,0.800000,6.957671,616.285355,8,0.005355,0.041667,0,0,0.800000,0.000000,0.002540,Soldered,M_Cross - Generic: Cross - Generic,A,Pipes for General Use,23-60 30 11 11,M_Elbow - Generic: Elbow - Generic,1,M_Transition - Generic: Transition - Generic,M_Coupling - Generic: Coupling - Generic,,,,,,0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190264,Level 1,ExpectedLife,,583276,New Construction,AccessibilityPerformance,WarrantyGuarantorParts,,FIXED,Unit B Domestic Hot Water,CodePerformance,310491,,,,190127,0.000000,190263,Reference,Pipe Types:Hot Water,25 mm,"190300,190302,190304,190306,190308,190310,310907,311122,311123,311124,311125",07bKDBIH95Dhi6THf$PjG3,Color,33,Pipe Types:Hot Water:583276,,InstallationDate,190264,WarrantyGuarantorLabor,,,,Features,TagNumber,,BarCode,Domestic Hot Water,,,Constituents,,,SerialNumber,WarrantyStartDate,AssetIdentifier,,0.600000,422,ReplacementCost,,,Finish,Grade,Copper,ModelReference,NominalHeight,NominalLength,NominalWidth,ProductionYear,Shape,SustainabilityPerformance,WarrantyDescription,WarrantyDurationLabor,WarrantyDurationParts,ModelLabel,Manufacturer,,,,,,,,,,,,,,,,,,,,,,,0.299925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082021,,,,,,,,,M_Tee - Generic: Tee - Generic,Level 1,0.000000,0.074016,0.588720,0.006684,22523.949350,29.140058,27.462213,2,0.060506,0.600000,1.553460,27.023000,11,0.023556,0.083333,0,0,0.600000,0.000000,0.002540,Soldered,M_Cross - Generic: Cross - Generic,A,Pipes for General Use,23-60 30 11 11,M_Elbow - Generic: Elbow - Generic,1,M_Transition - Generic: Transition - Generic,M_Coupling - Generic: Coupling - Generic,,,,,,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
